,Tweet User,Text,Retweets,Favorites,Replies,Datetime,FormattedDate,Hashtags,Permalink
0,ahappystitcher,"@ScalaRadio @simonmayo #wfh Had a pottering around the house/garden day yesterday away from the computer mouse. Back on the day job today, writing up a quote and designing a new range of notelets as the testers I did sold out on day 1. #workingfromhome #brokenarm",0,1,0,2019-07-10,Wed Jul 10 10:03:05 +0000 2019,#wfh #workingfromhome #brokenarm,https://twitter.com/ahappystitcher/status/1148895407059210242
1,SufiSenses,#WFH #WorkingFromHome Whose home? Monsieur Ladybug/bird’s home Madame Butterfly’s home? I am actually working #Loser #parklife #summer #London #weekend #alfresco,0,0,0,2019-07-12,Fri Jul 12 15:20:29 +0000 2019,#WFH #WorkingFromHome #Loser #parklife #summer #London #weekend #alfresco,https://twitter.com/SufiSenses/status/1149700059535204352
2,caboosecommons,Happy Friday! Let's start this weekend on the right foot. •• #breakfast #coffee #workingfromhome #workfromhome #wfh #workfromhomemom #coffee #coffeetime #coffeelover #coffeeaddict,0,0,0,2019-07-12,Fri Jul 12 12:05:04 +0000 2019,#breakfast #coffee #workingfromhome #workfromhome #wfh #workfromhomemom #coffee #coffeetime #coffeelover #coffeeaddict,https://twitter.com/caboosecommons/status/1149650881396142086
3,LisetteYOrellan,six conference calls today. BRING IT ON MONDAY! #WFH #workingfromhome #notalonetoday,0,0,0,2019-07-15,Mon Jul 15 13:49:24 +0000 2019,#WFH #workingfromhome #notalonetoday,https://twitter.com/LisetteYOrellan/status/1150764301365448706
4,AzfarRizvi,#Workingfromhome has its perks! Pakoray . What are you having? #WFH ,0,3,0,2019-07-17,Wed Jul 17 13:19:41 +0000 2019,#Workingfromhome #WFH,https://twitter.com/AzfarRizvi/status/1151481597784469505
5,AliceHall_IM,"Perk of WFH: lunchtime bacon sarnie (with a side of cheese, of course) in the sunshine #agileworking #solicitorlife #workingfromhome ",0,6,0,2019-07-23,Tue Jul 23 10:57:00 +0000 2019,#agileworking #solicitorlife #workingfromhome,https://twitter.com/AliceHall_IM/status/1153620017533132800
6,instantprintuk,A. Garden. Office. Can anyone else beat @stuartbruce's office location today? #wfh #workingfromhome #homeoffice #jealous #heatwave,1,2,0,2019-07-23,Tue Jul 23 08:25:13 +0000 2019,#wfh #workingfromhome #homeoffice #jealous #heatwave,https://twitter.com/instantprintuk/status/1153581823580147712
7,showmemagic,WFH! OK Computer A Moon Shaped Pool By @radiohead #workingfromhome #wfh #np #nowspinning #vinylcollection #vinyl #vinylrecords #Radiohead #vinyljunkie,1,6,2,2019-07-25,Thu Jul 25 18:41:14 +0000 2019,#workingfromhome #wfh #np #nowspinning #vinylcollection #vinyl #vinylrecords #Radiohead #vinyljunkie,https://twitter.com/showmemagic/status/1154461625287684097
8,SquareMeal,Working from home tomorrow and in need of a #free place to bring your laptop? These awesome restaurants and cafes will do #WorkingFromHome #WFH #RemoteWorking,0,0,0,2019-07-31,Wed Jul 31 20:00:24 +0000 2019,#free #WorkingFromHome #WFH #RemoteWorking,https://twitter.com/SquareMeal/status/1156655872204034049
9,KarenLuTweets,I just cant get around to the work from home culture... I dont believe this has made us productive or fosters collaboration. What are we really doing? #dearcorporateamerica #wfh #workingfromhome #idontbelieve #howdoesitmakesense #icant,0,2,0,2019-08-02,Fri Aug 02 01:25:20 +0000 2019,#dearcorporateamerica #wfh #workingfromhome #idontbelieve #howdoesitmakesense #icant,https://twitter.com/KarenLuTweets/status/1157100031452880896
10,isaacrlevin,Hey @ThatConference be sure to come to Room 5 tomorrow 8/6 at 10:30 to see me talk on #WorkingFromHome. I promise it is not a waste of your time :) #MentalHealth #WLB #WFH ,0,2,0,2019-08-05,Mon Aug 05 14:32:52 +0000 2019,#WorkingFromHome #MentalHealth #WLB #WFH,https://twitter.com/isaacrlevin/status/1158385388047781888
11,fudgelling,"I've been WFH/remote-working for almost a year now, and I've noticed some huge changes in my productivity, perseverance and personality. Here, Refinery29 have answers to the questions you've all been wanting to ask. #workingfromhome #remotework",0,0,0,2019-08-08,Thu Aug 08 09:42:07 +0000 2019,#workingfromhome #remotework,https://twitter.com/fudgelling/status/1159399380480380933
12,Space_282,Beach strolls Happy August! 50% off desk bookings when you use the code 'SUMMER50' when booking #remotework #nomad #remotelife #workingfromhome #seaside #leighonsea #coworking #worksmarter #coworkingspace #wfh #essex,1,4,0,2019-08-14,Wed Aug 14 07:30:38 +0000 2019,#remotework #nomad #remotelife #workingfromhome #seaside #leighonsea #coworking #worksmarter #coworkingspace #wfh #essex,https://twitter.com/Space_282/status/1161540617887014913
13,22North_,"84% of 2,500 respondents in Buffer’s remote work study are working from home. A much smaller percentage of primarily work from coworking spaces (8%), coffee shops (4%), libraries (0.5%) and other (3%). #remoteworkers #remoteworking #remotework #workingfromhome #wfh #futureofwork",3,2,1,2019-08-28,Wed Aug 28 01:23:19 +0000 2019,#remoteworkers #remoteworking #remotework #workingfromhome #wfh #futureofwork,https://twitter.com/22North_/status/1166521612478418944
